u_no	u_name	u_id	u_pw	u_number	u_age	u_disorder
1	이은서	user01	8ff51	010-1234-5678	2006-02-15	0
2	최하늘	user02	26d9	010-5484-1564	2009-08-18	0
3	하현우	user03	15ds2	010-4813-1289	2010-12-22	1
4	최태양	user04	894se	010-1054-4895	2001-01-11	0
5	김서은	user05	54ses	010-0498-4830	2014-10-16	0
6	정하율	user06	59s2	010-1197-9431	2008-03-31	0
7	정시언	user07	48d6	010-8432-0418	2007-10-31	1
8	김아영	user08	548a	010-8431-0186	2009-05-05	0
9	송지아	user09	5e1s	010-0000-4980	2004-09-16	0
10	김민후	user10	9be1	010-4987-0180	2000-04-13	0
