dino	diname	cno	state	rating	rank
1	김철수	1	1	4.8	
2	이영희	1	2	1.9	
3	박민수	2	1	3.7	
4	최지훈	3	1	4.2	
5	정유나	4	0	2.5	
6	한도윤	5	1	4.6	
7	오세훈	1	1	3.8	
8	윤하린	2	0	2.1	
9	장민재	3	1	4.9	
10	송지우	4	1	3.4	
11	강서준	5	2	1.5	
12	임수아	6	1	4.1	
13	조은우	7	1	4.3	
14	백지훈	8	0	2.7	
15	신예린	9	1	3.9	
16	문도현	10	1	4	
17	권채원	1	2	1.8	
18	안태윤	2	1	4.7	
19	황유진	3	1	3.5	
20	서하린	4	0	2.9	
21	고민서	5	1	4.4	
22	류지호	6	1	4.6	
23	배수빈	7	0	2.3	
24	손준혁	8	1	3.6	
25	진예은	9	1	4.5	
26	남도윤	10	2	1.7	
27	유서연	1	1	4.8	
28	노지훈	2	1	3.2	
29	양채린	3	0	2	
30	차민재	4	1	4.1	
31	천유진	5	1	4.3	
32	길서준	6	0	2.8	
33	도하린	7	1	3.9	
34	하민재	8	1	4.6	
35	구지우	9	2	1.6	
36	라예은	10	1	4	
37	맹도윤	1	1	3.5	
38	변수아	2	0	2.2	
39	사지훈	3	1	4.7	
40	양하린	4	1	4.1	
41	엄채원	5	2	1.4	
42	전서준	6	1	3.8	
43	표유진	7	1	4.5	
44	피민재	8	0	2.6	
45	함지호	9	1	4.9	
46	허다은	10	1	3.7	
47	홍서연	1	0	2.4	
48	김태윤	2	1	4.2	
49	이수빈	3	1	4.4	
50	박준혁	4	2	1.9	
51	최예린	5	1	3.6	
52	정민재	6	1	4.8	
53	한지우	7	0	2.1	
54	오도현	8	1	4	
55	윤채린	9	1	3.4	
56	장서준	10	2	1.5	
57	송유진	1	1	4.7	
58	강하린	2	1	3.9	
59	임민재	3	0	2.7	
60	조지호	4	1	4.3	
