uno	uid	upw	uname	ano	address	card	cardopen
1	user01	user01!	김민수	1504	장계면	4821-1934-5502-7718	0
2	user02	user02!	이서연	1001	조치원읍원리	5510-2844-9031-6627	1
3	user03	user03!	박지훈	810	연천읍	6234-1198-4402-7855	1
4	user04	user04!	최유진	906	갈말읍	7731-4502-2819-6640	0
5	user05	user05!	정현우	202	우동	4188-6721-9044-1105	1
6	user06	user06!	한지민	907	화천읍	5290-1184-6621-4730	0
7	user07	user07!	오세훈	402	봉선동	6417-5520-8011-2940	1
8	user08	user08!	윤하린	202	좌동	9321-4408-5177-6203	0
9	user09	user09!	강도윤	701	성남동	7810-6631-2254-9901	0
10	user10	user10!	임수아	1605	벌교읍	5144-2900-7741-6182	0
11	user11	user11!	조은우	810	전곡읍	6291-3380-4455-8120	1
12	user12	user12!	장하윤	1701	노형동	8042-1175-9920-6341	1
13	user13	user13!	백준호	1403	창녕읍	4118-6209-3350-7704	1
14	user14	user14!	신예린	1202	부여읍	5221-9077-1804-4412	1
15	user15	user15!	문서준	1303	영양읍	7430-5518-6290-1157	1
16	user16	user16!	송나연	112	여의도동	6105-4491-8300-2271	1
17	user17	user17!	권지호	1408	거창읍	9308-2215-7744-6180	1
18	user18	user18!	안채원	1702	서홍동	4850-6629-1107-9041	0
19	user19	user19!	황태윤	103	수유동	5581-2400-9931-7628	1
20	user20	user20!	서다은	1107	음성읍	7210-4488-3104-5567	0
21	user21	user21!	고민재	306	계산동	8391-1154-6720-8843	1
22	user22	user22!	류아린	1403	남지읍	4907-6201-5582-3110	0
23	user23	user23!	배지환	803	본오동	6674-1840-2901-7745	0
24	user24	user24!	손예은	607	상인동	7718-5022-6194-3318	1
25	user25	user25!	진도현	1102	옥천읍	6200-4491-8054-1172	0
26	user26	user26!	남하린	1607	장흥읍	4831-9024-1170-6654	0
27	user27	user27!	유건우	401	충장로	7104-2250-6681-4920	0
28	user28	user28!	노지우	604	침산동	8921-5100-3304-7712	1
29	user29	user29!	양서준	806	탄현동	5604-4499-1028-6810	0
30	user30	user30!	차수빈	1003	전의면읍내리	7041-9923-5501-2478	1
31	user31	user31!	천예준	505	오정동	6330-1180-4722-9055	1
32	user32	user32!	길하은	807	김량장동	8110-5524-3081-6602	1
33	user33	user33!	도윤서	803	이동	4921-7740-1168-3200	0
34	user34	user34!	하시우	905	사북읍	6028-4411-8870-2254	1
35	user35	user35!	구채린	803	사동	7115-3390-6201-9048	0
36	user36	user36!	라준혁	801	태평동	5204-1182-7741-6639	1
37	user37	user37!	맹서아	1207	태안읍	8841-4402-3117-9050	0
38	user38	user38!	변도윤	703	화정동	6318-5520-9981-4477	1
39	user39	user39!	사유나	1504	천천면	7710-2944-6180-3351	0
40	user40	user40!	양민혁	1607	관산읍	4418-8050-2231-7740	0
41	user41	user41!	엄지안	1404	고성읍	5922-1187-6640-9011	0
42	user42	user42!	전태민	501	원동	8004-5501-2291-7744	1
43	user43	user43!	표나은	501	삼성동	6338-7711-4405-1180	0
44	user44	user44!	피시온	1105	진천읍	7140-6622-9901-4430	1
45	user45	user45!	함유진	908	양구읍	5811-2290-7714-6605	1
46	user46	user46!	허준서	1310	울릉읍	4407-8012-3155-9920	0
47	user47	user47!	홍다인	304	주안동	9921-4470-1184-6208	1
48	user48	user48!	김도연	502	은행동	6610-5504-7731-2088	1
49	user49	user49!	이주원	1309	예천읍	7301-4488-6605-1192	1
50	user50	user50!	박하린	108	독산동	5140-2291-8804-7710	0
