uno	uid	upw	uname	money
1	user01	user01!	김민수	1200000
2	user02	user02!	이서연	1800000
3	user03	user03!	박지훈	1000000
4	user04	user04!	최유진	1400000
5	user05	user05!	정현우	1400000
6	user06	user06!	한지민	1800000
7	user07	user07!	오세훈	400000
8	user08	user08!	윤하린	800000
9	user09	user09!	강도윤	400000
10	user10	user10!	임수아	800000
11	user11	user11!	조은우	2000000
12	user12	user12!	장하윤	800000
13	user13	user13!	백준호	1400000
14	user14	user14!	신예린	800000
15	user15	user15!	문서준	1400000
16	user16	user16!	송나연	1600000
17	user17	user17!	권지호	2000000
18	user18	user18!	안채원	2000000
19	user19	user19!	황태윤	200000
20	user20	user20!	서다은	1400000
21	user21	user21!	고민재	1800000
22	user22	user22!	류아린	1600000
23	user23	user23!	배지환	200000
24	user24	user24!	손예은	1200000
25	user25	user25!	진도현	400000
26	user26	user26!	남하린	200000
27	user27	user27!	유건우	1400000
28	user28	user28!	노지우	600000
29	user29	user29!	양서준	800000
30	user30	user30!	차수빈	1200000
31	user31	user31!	천예준	1400000
32	user32	user32!	길하은	1800000
33	user33	user33!	도윤서	600000
34	user34	user34!	하시우	2000000
35	user35	user35!	구채린	1200000
36	user36	user36!	라준혁	1000000
37	user37	user37!	맹서아	600000
38	user38	user38!	변도윤	2000000
39	user39	user39!	사유나	1600000
40	user40	user40!	양민혁	600000
41	user41	user41!	엄지안	800000
42	user42	user42!	전태민	1400000
43	user43	user43!	표나은	800000
44	user44	user44!	피시온	800000
45	user45	user45!	함유진	1200000
46	user46	user46!	허준서	1400000
47	user47	user47!	홍다인	1800000
48	user48	user48!	김도연	600000
49	user49	user49!	이주원	1600000
50	user50	user50!	박하린	1800000
