dno	dname	id	pw	day_off	cno	lno
1	김치과	doctor01	doctor01!	1	1	1
2	한동연	doctor02	doctor02!	3	1	2
3	강지연	doctor03	doctor03!	5	1	1
4	김광수	doctor04	doctor04!	2	1	1
5	박민수	doctor05	doctor05!	1	2	2
6	이서준	doctor06	doctor06!	2	3	3
7	최지훈	doctor07	doctor07!	3	4	4
8	정현우	doctor08	doctor08!	4	5	5
9	강도윤	doctor09	doctor09!	5	6	6
10	윤지호	doctor10	doctor10!	6	2	7
11	한예준	doctor11	doctor11!	7	3	8
12	오민재	doctor12	doctor12!	1	4	9
13	서태윤	doctor13	doctor13!	2	5	10
14	조시우	doctor14	doctor14!	3	6	11
15	임도현	doctor15	doctor15!	4	2	12
16	신하준	doctor16	doctor16!	5	3	13
17	백준혁	doctor17	doctor17!	6	4	14
18	황지훈	doctor18	doctor18!	7	5	15
19	유건우	doctor19	doctor19!	1	6	16
20	문서준	doctor20	doctor20!	2	2	17
21	김태훈	doctor21	doctor21!	3	1	2
22	박서준	doctor22	doctor22!	4	2	3
23	이도윤	doctor23	doctor23!	5	3	4
24	최현우	doctor24	doctor24!	6	4	5
25	정지훈	doctor25	doctor25!	7	5	6
26	강민재	doctor26	doctor26!	1	6	7
27	윤서진	doctor27	doctor27!	2	1	8
28	한도현	doctor28	doctor28!	3	2	9
29	오지후	doctor29	doctor29!	4	3	10
30	서민규	doctor30	doctor30!	5	4	11
31	조하람	doctor31	doctor31!	6	5	12
32	임지환	doctor32	doctor32!	7	6	13
33	신예찬	doctor33	doctor33!	1	1	14
34	백준서	doctor34	doctor34!	2	2	15
35	황도윤	doctor35	doctor35!	3	3	16
36	유승민	doctor36	doctor36!	4	4	17
