uno	id	pw	uname	point	sno	chance
1	user01	user01!	이리온	22580	54	2
2	user02	user02@	이서준	37980	136	1
3	user03	user03#	박민준	23370	111	2
4	user04	user04$	최하준	48670	132	2
5	user05	user05*	정주원	34150	136	2
6	user06	user06!	강지호	69290	39	1
7	user07	user07@	조현우	95870	132	2
8	user08	user08#	윤지후	56580	106	0
9	user09	user09$	장우진	59270	53	2
10	user10	user10*	임건우	91140	73	0
11	user11	user11!	한유준	86520	89	0
12	user12	user12@	오준서	44320	83	1
13	user13	user13#	서민지	1960	135	1
14	user14	user14$	신서윤	25950	56	2
15	user15	user15*	권채원	94220	63	2
16	user16	user16!	황민서	22630	131	2
17	user17	user17@	안지윤	71060	1	2
18	user18	user18#	송지민	49560	127	0
19	user19	user19$	전은비	16720	78	1
20	user20	user20*	홍다은	6410	24	2
21	user21	user21!	박상우	20510	130	1
22	user22	user22@	이현제	77280	66	2
23	user23	user23#	김태희	44310	108	2
24	user24	user24$	최수빈	78480	124	2
25	user25	user25*	정예준	31960	86	2
26	user26	user26!	조은우	17170	123	1
27	user27	user27@	윤도경	4600	124	0
28	user28	user28#	강민성	590	59	1
29	user29	user29$	유하은	24200	28	0
30	user30	user30*	백서진	74960	133	2
31	user31	user31!	성지훈	19320	99	1
32	user32	user32@	남궁민	3580	80	0
33	user33	user33#	고아라	82570	33	1
34	user34	user34$	문채영	93300	64	0
35	user35	user35*	양준영	62130	61	1
36	user36	user36!	손지혜	57540	25	1
37	user37	user37@	배성민	95500	12	1
38	user38	user38#	곽동현	65770	104	0
39	user39	user39$	차유리	92940	4	0
40	user40	user40*	원지섭	12720	51	2
41	user41	user41!	설수아	66640	78	2
42	user42	user42@	나현수	95890	8	0
43	user43	user43#	류승민	10140	103	2
44	user44	user44$	심다인	69390	22	2
45	user45	user45*	민소희	68360	95	1
46	user46	user46!	진영호	17820	72	2
47	user47	user47@	변지환	15990	48	0
48	user48	user48#	구본승	97760	112	2
49	user49	user49$	지수호	88210	75	0
50	user50	user50*	노태현	44700	36	0
