u_no	u_id	u_pw	u_name	u_birth	u_point	x	y
1	user01	user01!	유재석	1997-08-21	1938-11-26	215	428
2	user02	user02!	아이유	2014-02-10	1913-03-27	782	112
3	user03	user03!	손흥민	2001-11-11	1949-05-07	55	881
4	user04	user04!	공유	2000-05-07	1931-11-23	432	615
5	user05	user05!	김혜수	1999-09-09	1972-02-28	891	34
6	user06	user06!	차은우	1998-12-07	1970-07-11	120	520
7	user07	user07!	이효리	1988-04-25	1946-07-30	650	740
8	user08	user08!	한소희	2009-03-07	2003-06-18	320	20
9	user09	user09!	임영웅	2013-08-28	1912-01-17	510	300
10	user10	user10!	전지현	1987-09-23	1983-02-15	815	850
11	user11	user11!	정우성	2001-06-19	1952-11-19	280	360
12	user12	user12!	수지	1998-04-05	1923-10-26	150	650
13	user13	user13!	박보검	2000-10-01	1922-07-08	380	780
14	user14	user14!	김태리	1988-11-30	1903-01-29	720	510
15	user15	user15!	남궁민	2001-08-06	1986-08-31	95	60
